"","STAT_ID","start_time","end_time","Ca_start","Ca_end","Ca_avg","duration","Ca_dif","Ca_slope","Ca_rc","STATION_NAME","STATION_ID_ORIG","Country","State","Latitude","Longitude","CoordinateSystem"
"1",100001,1978-05-11,1994-08-03,174.651,349.301,335.933550458716,16.241095890411,174.65,10.753584682861,99.9994274295595,"ST. JOHN RIVER AT VAN BUREN, ME","1015000","USA","ME",47.15,-67.93,"NA1983"
"2",100007,1978-12-01,1994-08-02,154.691,147.206,125.591837209302,15.6794520547945,-7.48500000000001,-0.47737637602656,-4.8386783975797,"PENOBSCOT RIVER AT EDDINGTON, ME","1036390","USA","ME",44.82,-68.69,"NA1983"
"3",100009,1978-10-16,2000-09-12,114.77,128.842,137.594044444444,21.9232876712329,14.072,0.641874531367159,12.261043826784,"KENNEBEC RIVER AT NORTH SIDNEY, MAINE","1049265","USA","MAINE",44.47,-69.68,"NA1983"
"4",100029,1973-01-17,1995-01-17,149.701,109.78,129.89016,22.013698630137,-39.921,-1.81346172993155,-26.6671565320205,"MERRIMACK RIVER ABOVE LOWELL, MA","1096550","USA","MA",42.63,-71.37,"NA1983"
"5",100047,1973-05-09,1995-08-29,274.451,474.052,306.045434782609,22.3205479452055,199.601,8.94247759911624,72.727372099209,"BLACKSTONE RIVER AT MILLVILLE, MA","1111230","USA","MA",42.02,-71.56,"NA1983"
"6",100052,1974-07-08,2001-09-26,167.166,226.064,156.210185714286,27.2383561643836,58.898,2.16231844699256,35.2332412093368,"SHETUCKET R AT SOUTH WINDHAM, CT","1122610","USA","CONNECTICUT",41.68,-72.16,"NA1983"
"7",100056,1973-01-08,2001-09-26,154.691,261.317,175.842353448276,28.7342465753425,106.626,3.71076372997712,68.9283798023156,"QUINEBAUG RIVER AT JEWETT CITY, CT.","1127000","USA","CONNECTICUT",41.59,-71.98,"NA1983"
"8",100071,1980-10-28,1994-07-12,299.401,324.351,332.38593220339,13.7123287671233,24.95,1.81953046953047,8.33330549998163,"CONNECTICUT RIVER AT NORTH WALPOLE, NH","1154500","USA","NH",43.12,-72.43,"NA1983"
"9",100134,1973-01-09,1995-09-12,449.102,748.503,581.70894893617,22.6876712328767,299.401,13.1966386909794,66.6665924444781,"HOUSATONIC R AT STEVENSON, CT","1205500","USA","CT",41.38,-73.16,"NA1983"
"10",100145,1973-02-21,1997-06-18,162.176,163.772,200.327594405594,24.3369863013699,1.596,0.0655791962174942,0.98411602209945,"PECONIC RIVER AT RIVERHEAD NY","1304500","USA","NEW YORK",40.91,-72.68,"NA1983"
"11",100146,1985-02-27,1997-06-18,194.611,206.138,196.157194444444,12.3123287671233,11.527,0.9362160658656,5.92309787216551,"CARMANS RIVER AT YAPHANK NY","1305000","USA","NEW YORK",40.83,-72.9,"NA1983"
"12",100206,1963-08-20,1992-08-04,139.721,159.681,137.193399141631,28.9780821917808,19.96,0.688796445116763,14.2856120411391,"ESOPUS CREEK AT SHANDAKEN NY","1362198","USA","NY",42.11,-74.38,"NA1983"
"13",100358,1963-06-19,1995-09-14,19.96,20.958,18.9089467213115,32.2602739726027,0.997999999999998,0.0309358811040339,4.99999999999999,"MCDONALDS BRANCH IN LEBANON STATE FOREST NJ","1466500","USA","NJ",39.88,-74.5,"NA1983"
"14",100442,1973-03-28,1995-09-05,424.152,998.004,648.268617391304,22.4547945205479,573.852,25.555878477306,135.293951225033,"SUSQUEHANNA RIVER AT DANVILLE, PA","1540500","USA","PENNSYLVANIA",40.95,-76.61,"NA1983"
"15",100443,1967-10-27,1995-08-08,122.255,124.75,104.068763033175,27.8,2.495,0.0897482014388491,2.04081632653062,"YOUNG WOMANS CREEK NEAR RENOVO, PA.","1545600","USA","PA",41.38,-77.69,"NA1983"
"16",100444,1973-03-29,1995-09-05,299.401,1047.904,515.230382608696,22.4520547945205,748.503,33.3378395363026,250.00016700011,"WEST BRANCH SUSQUEHANNA RIVER AT LEWISBURG, PA","1553500","USA","PENNSYLVANIA",40.96,-76.87,"NA1983"
"17",100457,1973-03-21,1995-06-12,623.753,548.902,626.663319444444,22.241095890411,-74.851,-3.36543668391229,-12.0001026047169,"JUNIATA RIVER AT NEWPORT, PA","1567000","USA","PENNSYLVANIA",40.47,-77.12,"NA1983"
"18",100461,1973-03-26,1995-08-30,374.251,848.303,586.201529411765,22.4438356164384,474.052,21.1217016601563,126.666862613594,"SUSQUEHANNA RIVER AT HARRISBURG, PA","1570500","USA","PENNSYLVANIA",40.25,-76.88,"NA1983"
"19",100524,1979-03-29,1993-09-13,548.902,1322.355,976.3635,14.4712328767123,773.453,53.4476230594472,140.90912403307,"POTOMAC RIVER AT SHEPHERDSTOWN, WV","1618000","USA","WEST VIRGINIA",39.43,-77.8,"NA1983"
"20",100554,1974-09-25,1997-03-18,1397.205,998.004,913.473753623188,22.4931506849315,-399.201,-17.7476693057247,-28.5713978979463,"SHENANDOAH RIVER AT MILLVILLE, WV","1636500","USA","WEST VIRGINIA",39.28,-77.78,"NA1983"
"21",100603,1973-01-01,1994-04-28,157.186,149.701,145.59041025641,21.3342465753425,-7.48500000000001,-0.350844355977913,-4.76187446719174,"RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA","1668000","USA","VA",38.32,-77.51,"NA1983"
