"","STAT_ID","start_time","end_time","Alk_start","Alk_end","Alkalinity_avg","duration","Alk_dif","Alk_slope","Alkalinity_rc","STATION_NAME","STATION_ID_ORIG","Country","State","Latitude","Longitude","CoordinateSystem"
"1",100010,1964-09-29,1995-06-21,147.5,99.911,98.5280307692308,30.7452054794521,-47.589,-1.54785109606131,-32.2637288135593,"WILD RIVER AT GILEAD, ME","1054200","USA","ME",44.39,-70.97,"NA1983"
"2",100029,1973-01-17,1995-01-17,219.804,159.857,223.436957446809,22.013698630137,-59.947,-2.72316801493466,-27.2729340685338,"MERRIMACK RIVER ABOVE LOWELL, MA","1096550","USA","MA",42.63,-71.37,"NA1983"
"3",100052,1974-07-08,2001-09-26,339.697,439.608,288.78814379085,27.2383561643836,99.911,3.66802605109636,29.4117993388225,"SHETUCKET R AT SOUTH WINDHAM, CT","1122610","USA","CONNECTICUT",41.68,-72.16,"NA1983"
"4",100056,1973-01-08,2001-09-26,139.875,499.554,303.044613259668,28.7342465753425,359.679,12.5174327803204,257.143163538874,"QUINEBAUG RIVER AT JEWETT CITY, CT.","1127000","USA","CONNECTICUT",41.59,-71.98,"NA1983"
"5",100098,1973-01-11,2006-08-14,399.644,657.414,498.243691318328,33.6109589041096,257.77,7.66922481252038,64.4999049153747,"CONNECTICUT RIVER AT THOMPSONVILLE, CT.","1184000","USA","CONNECTICUT",41.98,-72.6,"NA1983"
"6",100134,1973-01-09,1995-09-12,1059.055,2218.021,1534.78065775401,22.6876712328767,1158.966,51.0835152759329,109.4339765168,"HOUSATONIC R AT STEVENSON, CT","1205500","USA","CT",41.38,-73.16,"NA1983"
"7",100145,1973-02-21,1997-06-18,147.5,339.697,263.692272727273,24.3369863013699,192.197,7.8973212878532,130.303050847458,"PECONIC RIVER AT RIVERHEAD NY","1304500","USA","NEW YORK",40.91,-72.68,"NA1983"
"8",100198,1973-01-16,1994-06-29,1606.107,1578.592,992.657704545455,21.4630136986301,-27.5149999999999,-1.2819728108246,-1.71314862583874,"HUDSON RIVER AT GREEN ISLAND NY","1358000","USA","NY",42.75,-73.68,"NA1983"
"9",100206,1963-08-20,1992-08-04,278.61,339.697,222.34922754491,28.9780821917808,61.087,2.10804150515269,21.925630810093,"ESOPUS CREEK AT SHANDAKEN NY","1362198","USA","NY",42.11,-74.38,"NA1983"
"10",100212,1973-01-24,1994-06-01,1039.073,839.251,1052.76464814815,21.3643835616438,-199.822,-9.35304308797128,-19.2307951414386,"HUDSON RIVER NEAR POUGHKEEPSIE NY","1372043","USA","NY",41.72,-73.94,"NA1983"
