"","STAT_ID","makeup","concentration","X","Continent","annual_runoff","annual_precip","duration","HCO3_avg","HCO3_dif","HCO3_slope","HCO3_rc","sc","sm","Shape_Area","carbonate","sedimentary","slope","size","runoff","precip"
"1",100001,"ss",0.56,1,"North America",616.16,1004.55,16.2,650.0909375,327.777,20.1819509109312,100,0.03,0.3,21201844438.75,"low carbonate","low sedimentary","augmented","small","high runoff","low rainfall"
"2",100010,"mt",0.88,2,"North America",1471.7,1309.69,30.7,91.439380952381,-81.945,-2.66529361967564,-55.5559322033898,0,0,175186278.33,"low carbonate","low sedimentary","diminished","small","high runoff","low rainfall"
"3",100016,"ss",0.85,3,"North America",719,1188.04,0.4,122.916,81.944,223.205671641791,100,0,0,40762494.96,"low carbonate","low sedimentary","augmented","small","high runoff","low rainfall"
"4",100017,"mt",0.5,4,"North America",719,1170,0.4,114.722,32.778,89.2833582089552,33.3336723175333,0,0,46925179.21,"low carbonate","low sedimentary","augmented","small","high runoff","low rainfall"
"5",100018,"pa",0.72,5,"North America",707,1136.5,0.4,98.333,65.556,173.390869565217,100.001525436656,0,0,62517551.12,"low carbonate","low sedimentary","augmented","small","high runoff","low rainfall"
"6",100019,"mt",0.74,6,"North America",714.94,1112.95,0.4,262.2215,327.777,886.211888888889,333.333672317533,0,0,68074783.72,"low carbonate","low sedimentary","augmented","small","high runoff","low rainfall"
"7",100020,"mt",0.62,7,"North America",707,1101.65,0.4,163.8885,131.111,344.28428057554,133.333672317533,0,0,84615892.34,"low carbonate","low sedimentary","augmented","small","high runoff","low rainfall"
"8",100021,"mt",0.51,8,"North America",707,1113.13,0.4,106.5275,81.945,223.208395522388,125.00190679582,0,0,84121339.37,"low carbonate","low sedimentary","augmented","small","high runoff","low rainfall"
"9",100023,"mt",0.78,9,"North America",707,1119.06,0.4,98.333,32.778,87.3282481751825,40.0004881382407,0,0,104247011.98,"low carbonate","low sedimentary","augmented","small","high runoff","low rainfall"
"10",100025,"pa",0.46,10,"North America",753,1084.83,0.4,262.2215,163.889,453.177916666667,90.9095447561253,0,0,88702541.61,"low carbonate","low sedimentary","augmented","small","high runoff","low rainfall"
"11",100026,"mt",1,11,"North America",696.27,1078.72,0.4,598.193,344.166,930.522888888889,80.7692849264274,0,0,12312735.54,"low carbonate","low sedimentary","augmented","small","high runoff","low rainfall"
"12",100029,"pa",0.49,12,"North America",704.93,1122.88,22,198.549965517241,-81.944,-3.72240945861854,-35.7141611896585,0.000157822438828392,0,10737946503.27,"low carbonate","low sedimentary","diminished","small","high runoff","low rainfall"
"13",100031,"mt",0.99,13,"North America",765.63,1136.65,0.4,360.555,196.666,552.177615384615,74.9998093218723,0,0,62067577.05,"low carbonate","low sedimentary","augmented","small","high runoff","low rainfall"
"14",100032,"mt",0.94,14,"North America",763.38,1119.64,0.4,401.5265,245.833,674.65447368421,88.2355263630164,0,0,40458324.97,"low carbonate","low sedimentary","augmented","small","high runoff","low rainfall"
