"","STAT_ID","start_time","end_time","K_start","K_end","K_avg","duration","K_dif","K_slope","K_rc","STATION_NAME","STATION_ID_ORIG","Country","State","Latitude","Longitude","CoordinateSystem"
"1",100001,1978-05-11,1994-08-03,12.788,10.231,13.011247706422,16.241095890411,-2.557,-0.157440114709852,-19.995308101345,"ST. JOHN RIVER AT VAN BUREN, ME","1015000","USA","ME",47.15,-67.93,"NA1983"
"2",100003,1985-11-05,1986-08-05,28.134,17.904,23.019,0.747945205479452,-10.23,-13.6774725274725,-36.3616975901045,"AROOSTOOK RIVER AT FORT FAIRFIELD, ME","1017500","USA","ME",46.77,-67.83,"NA1983"
"3",100005,1978-01-31,1986-08-07,12.788,15.346,13.7286764705882,8.52054794520548,2.558,0.300215434083601,20.0031279324367,"NARRAGUAGUS RIVER AT CHERRYFIELD, ME","1022500","USA","ME",44.6,-67.93,"NA1983"
"4",100006,1973-01-24,1978-10-17,10.231,20.461,13.7305789473684,5.73150684931507,10.23,1.78487093690249,99.9902257843808,"PENOBSCOT RIVER AT WEST ENFIELD, ME","1034500","USA","ME",45.23,-68.64,"NA1983"
"5",100007,1978-12-01,1994-08-02,20.461,20.461,14.9891162790698,15.6794520547945,0,0,0,"PENOBSCOT RIVER AT EDDINGTON, ME","1036390","USA","ME",44.82,-68.69,"NA1983"
"6",100008,1973-02-21,1978-09-12,5.115,10.231,9.69445161290323,5.55890410958904,5.116,0.920325283390833,100.019550342131,"KENNEBEC RIVER AT BINGHAM, ME","1046500","USA","ME",45.05,-69.88,"NA1983"
"7",100009,1978-10-16,2000-09-12,12.788,27.879,19.0119703703704,21.9232876712329,15.091,0.688354786303424,118.009071004066,"KENNEBEC RIVER AT NORTH SIDNEY, MAINE","1049265","USA","MAINE",44.47,-69.68,"NA1983"
"8",100022,1979-04-09,1982-09-15,12.788,23.019,19.0841153846154,3.43835616438356,10.231,2.97554980079681,80.004691898655,"MERRIMACK RIVER AT CONCORD, NH","1088400","USA","NH",43.2,-71.53,"NA1983"
"9",100029,1973-01-17,1995-01-17,28.134,25.577,28.5120067114094,22.013698630137,-2.557,-0.116154947106409,-9.08864718845524,"MERRIMACK RIVER ABOVE LOWELL, MA","1096550","USA","MA",42.63,-71.37,"NA1983"
"10",100044,1998-10-20,2001-09-10,49.107,54.99,41.0055882352941,2.89315068493151,5.883,2.03342329545455,11.9799621235262,"WADING RIVER NEAR NORTON, MA","1109000","USA","MASSACHUSETTS",41.94,-71.17,"NA1983"
"11",100047,1973-05-09,1995-08-29,61.384,230.191,81.5120217391304,22.3205479452055,168.807,7.56285197005033,275.001629089013,"BLACKSTONE RIVER AT MILLVILLE, MA","1111230","USA","MA",42.02,-71.56,"NA1983"
"12",100049,1999-01-20,2001-08-28,56.78,136.836,99.70675,2.60547945205479,80.056,30.726014721346,140.993307502642,"BLACKSTONE RIVER AT MANVILLE, RI","1112900","USA","RHODE ISLAND",41.97,-71.47,"NA1983"
"13",100051,1991-10-22,2001-09-12,35.807,83.636,40.8322291666667,9.8986301369863,47.829,4.83188070855245,133.574440751808,"WILLIMANTIC R AT MERROW, CT","1119375","USA","CONNECTICUT",41.83,-72.31,"NA1983"
"14",100052,1974-07-08,2001-09-26,NA,79.288,40.4416016949153,27.2383561643836,NA,NA,NA,"SHETUCKET R AT SOUTH WINDHAM, CT","1122610","USA","CONNECTICUT",41.68,-72.16,"NA1983"
"15",100053,1991-10-22,2001-09-24,38.365,66.244,44.4617755102041,9.93150684931507,27.879,2.80712689655172,72.6677961683826,"QUINEBAUG RIVER AT QUINEBAUG, CT.","1124000","USA","CONNECTICUT",42.02,-71.95,"NA1983"
"16",100054,1991-10-22,2001-09-24,63.942,148.345,79.403431372549,9.93150684931507,84.403,8.49850896551724,131.999311876388,"FRENCH R AT N GROSVENORDALE, CT.","1125100","USA","CONNECTICUT",41.97,-71.9,"NA1983"
"17",100056,1973-01-08,2001-09-26,25.577,89.519,48.8083676470588,28.7342465753425,63.942,2.22528890160183,249.998045118661,"QUINEBAUG RIVER AT JEWETT CITY, CT.","1127000","USA","CONNECTICUT",41.59,-71.98,"NA1983"
"18",100060,1994-06-30,1995-08-29,17.904,28.134,23.019,1.16438356164384,10.23,8.78576470588235,57.1380697050938,"CONNECTICUT RIVER NEAR DALTON, NH","1131500","USA","NEW HAMPSHIRE",44.41,-71.72,"NA1983"
"19",100062,1993-03-23,1995-09-12,53.711,5.115,48.0692647058824,2.47397260273973,-48.596,-19.6429014396456,-90.4768110815289,"SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT","1135300","USA","VERMONT",44.43,-72.03,"NA1983"
"20",100064,1993-03-23,1995-09-13,15.346,15.346,11.2087058823529,2.47671232876712,0,0,0,"AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH","1137500","USA","NEW HAMPSHIRE",44.26,-71.63,"NA1983"
"21",100066,1979-04-10,1986-07-15,17.904,30.692,23.1974651162791,7.26849315068493,12.788,1.75937429325292,71.4253798033959,"CONNECTICUT RIVER AT WELLS RIVER, VT","1138500","USA","VT",44.15,-72.04,"NA1983"
"22",100068,1993-03-22,1995-09-12,28.134,38.365,26.2343142857143,2.47671232876712,10.231,4.13087942477876,36.3652520082463,"WHITE RIVER AT WEST HARTFORD, VT","1144000","USA","VERMONT",43.71,-72.41,"NA1983"
"23",100071,1980-10-28,1994-07-12,28.134,30.692,26.2702881355932,13.7123287671233,2.558,0.186547452547453,9.092201606597,"CONNECTICUT RIVER AT NORTH WALPOLE, NH","1154500","USA","NH",43.12,-72.43,"NA1983"
"24",100084,1994-08-11,1994-10-06,51.154,51.154,51.154,0.153424657534247,0,0,0,"SOUTH RIVER NEAR CONWAY, MA","1169900","USA","MASSACHUSETTS",42.54,-72.69,"NA1983"
"25",100090,1994-08-11,1994-10-03,28.134,35.807,31.9705,0.145205479452055,7.673,52.8423584905661,27.2730504016493,"FORT RIVER NEAR AMHERST, MA","1171300","USA","MASSACHUSETTS",42.35,-72.5,"NA1983"
"26",100099,1994-08-10,1994-09-12,53.711,40.923,47.317,0.0904109589041096,-12.788,-141.44303030303,-23.8089032041854,"STONY BROOK NEAR WEST SUFFIELD, CT.","1184100","USA","CONNECTICUT",41.96,-72.71,"NA1983"
