"STAT_ID","STATION_NAME","STATION_ID_ORIG","Country","State","Latitude","Longitude","CoordinateSystem"
"100351","SHABAKUNK CREEK NEAR LAWRENCEVILLE NJ","1463810","USA","NEW JERSEY",40.25,-74.73,"NA1983"
"100352","CROSSWICKS CREEK AT EXTONVILLE NJ","1464500","USA","NEW JERSEY",40.13,-74.60,"NA1983"
"100353","DOCTORS CREEK AT ALLENTOWN NJ","1464515","USA","NEW JERSEY",40.17,-74.59,"NA1983"
"100354","PINE RUN AT CHALFONT PA","1464710","USA","PENNSYLVANIA",40.28,-75.20,"NA1983"
"100355","LITTLE NESHAMINY C AT VALLEY ROAD NR NESHAMINY PA","1464907","USA","PENNSYLVANIA",40.22,-75.11,"NA1983"
"100356","MILL CREEK NEAR LANGHORNE, PA.","1465470","USA","PENNSYLVANIA",40.17,-74.96,"NA1983"
"100357","NESHAMINY CREEK NEAR LANGHORNE, PA.","1465500","USA","PENNSYLVANIA",40.17,-74.95,"NA1983"
"100358","MCDONALDS BRANCH IN LEBANON STATE FOREST NJ","1466500","USA","NJ",39.88,-74.50,"NA1983"
"100359","NORTH BRANCH RANCOCAS CREEK AT PEMBERTON NJ","1467000","USA","NEW JERSEY",39.97,-74.68,"NA1983"
"100360","PENNYPACK CREEK AT PAPER MILL, PA","1467040","USA","PENNSYLVANIA",40.14,-75.07,"NA1983"
"100361","COOPER RIVER AT HADDONFIELD NJ","1467150","USA","NEW JERSEY",39.90,-75.02,"NA1983"
"100362","SB BIG TIMBER C AT BLACKWOOD TERRACE NJ","1467329","USA","NEW JERSEY",39.80,-75.07,"NA1983"
"100363","SCHUYLKILL RIVER AT BERNE, PA.","1470500","USA","PENNSYLVANIA",40.52,-75.99,"NA1983"
"100364","ONTELAUNEE CREEK AT WANAMAKERS, PA","1470640","USA","PENNSYLVANIA",40.65,-75.84,"NA1983"
"100365","MILL CR AT DIETRICKS MILL BRIDGE NEAR KUTZTOWN, PA","1470744","USA","PENNSYLVANIA",40.54,-75.79,"NA1983"
"100366","TULPEHOCKEN CR NR BERNVILLE, PA.","1470779","USA","PENNSYLVANIA",40.41,-76.17,"NA1983"
"100367","LITTLE NORTHKILL CREEK NEAR BERNVILLE, PA.","1470818","USA","PENNSYLVANIA",40.44,-76.12,"NA1983"
"100368","WYOMISSING CR. @ WEST READING PA","1471520","USA","PENNSYLVANIA",40.32,-75.94,"NA1983"
"100369","HAY CREEK NEAR SCARLETS MILL, PA","1471667","USA","PENNSYLVANIA",40.23,-75.83,"NA1983"
"100370","HAY CREEK NEAR BIRDSBORO PA","1471668","USA","PENNSYLVANIA",40.25,-75.81,"NA1983"
"100371","MANATAWNY CREEK NEAR POTTSTOWN, PA.","1471980","USA","PENNSYLVANIA",40.27,-75.67,"NA1983"
"100372","SCHUYLKILL RIVER AT POTTSTOWN, PA.","1472000","USA","PENNSYLVANIA",40.24,-75.65,"NA1983"
"100373","PIGEON CREEK NEAR PARKER FORD, PA","1472100","USA","PENNSYLVANIA",40.19,-75.58,"NA1983"
"100374","FRENCH CREEK NEAR PHOENIXVILLE, PA","1472157","USA","PENNSYLVANIA",40.15,-75.60,"NA1983"
"100375","MACOBY CREEK AT GREEN LANE, PA","1472280","USA","PENNSYLVANIA",40.33,-75.47,"NA1983"
"100376","PERKIOMEN CREEK AT GRATERFORD, PA.","1473000","USA","PENNSYLVANIA",40.22,-75.45,"NA1983"
"100377","STONY CREEK AT STERIGER STREET AT NORRISTOWN","1473470","USA","PENNSYLVANIA",40.12,-75.34,"NA1983"
"100378","WISSAHICKON CREEK AT MOUTH, PHILADELPHIA, PA.","1474000","USA","PENNSYLVANIA",40.07,-75.22,"NA1983"
"100379","SCHUYLKILL RIVER AT PHILADELPHIA, PA","1474500","USA","PENNSYLVANIA",39.96,-75.18,"NA1983"
"100380","MANTUA CREEK AT PITMAN NJ","1475000","USA","NEW JERSEY",39.73,-75.11,"NA1983"
"100381","DARBY CREEK AT FOXCROFT, PA","1475430","USA","PENNSYLVANIA",39.99,-75.35,"NA1983"
"100382","DARBY CREEK NEAR DARBY, PA.","1475510","USA","PENNSYLVANIA",39.92,-75.27,"NA1983"
"100383","COBBS CREEK AT EAST LANSDOWNE, PA","1475543","USA","PENNSYLVANIA",39.95,-75.25,"NA1983"
"100384","CRUM CREEK AT GOSHEN ROAD NEAR WHITEHORSE, PA","1475845","USA","PENNSYLVANIA",39.99,-75.43,"NA1983"
"100385","RIDLEY CREEK NEAR MEDIA, PA","1476470","USA","PENNSYLVANIA",39.93,-75.41,"NA1983"
"100386","W B CHESTER CREEK NEAR CHESTER HEIGHTS, PA.","1476950","USA","PENNSYLVANIA",39.87,-75.45,"NA1983"
"100387","RACCOON CREEK NEAR SWEDESBORO NJ","1477120","USA","NEW JERSEY",39.74,-75.25,"NA1983"
"100388","CHRISTINA RIVER AT COOCHS BRIDGE, DE","1478000","USA","DELAWARE",39.63,-75.72,"NA1983"
"100389","M. BR. WHITE CLAY CREEK NEAR LANDENBERG, PA.","1478200","USA","PENNSYLVANIA",39.78,-75.80,"NA1983"
"100390","WHITE CLAY CREEK AT NEWARK DE","1478650","USA","DELAWARE",39.68,-75.74,"NA1983"
"100391","EAST BRANCH RED CLAY CREEK NEAR FIVE POINT, PA.","1479800","USA","PENNSYLVANIA",39.81,-75.69,"NA1983"
"100392","WEST BRANCH BRANDYWINE CREEK AT CEDAR KNOLL, PA","1480350","USA","PENNSYLVANIA",40.03,-75.82,"NA1983"
